"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestReview_GetById_AAA/fail_to_get_non-existent_review_by_id",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestUser_GetByPhone_AAA/successfully_get_user_by_phone",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","210","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestUser_Create_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","950","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","TestCreate/successful_creation",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","TestReviewsForProduct/successful_get_reviews_for_product",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBrand_GetAllBrandsInCategory_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","TestGetAllWorkers/empty_list",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBasket_GetItems_AAA/successfully_get_basket_with_items",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/favourites","","github.com/taucuya/ppo/internal/repository/postgres/reps/favourites","","TestDeleteItem/database_error_when_deleting_item",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestRefreshToken_AAA/refresh_error",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestUser_GetById_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","TestGetAllUsers/database_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","TestCreate",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","TestUpdateStatus",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestReview_Delete_AAA/fail_to_delete_non-existent_review",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBrand_GetAllBrandsInCategory_AAA/successfully_get_brands_in_budget_category",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","TestCreate",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/brand","","github.com/taucuya/ppo/internal/core/service/brand","","TestGetAllBrandsInCategory_AAA",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBasket_GetItems_AAA/successfully_get_empty_basket_items",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBrand_Create_AAA/successful_brand_creation",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/favourites","","github.com/taucuya/ppo/internal/core/service/favourites","","TestAddItem_AAA/error_get_favourites_id",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","800","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestVerifyTokens_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestGetByArticule/successful_get_by_articule",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/user","","github.com/taucuya/ppo/internal/core/service/user","","TestGetByPhone_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","TestDeleteToken/successful_token_deletion",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestFavourites_GetItems_AAA/successfully_get_favourites_with_items",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/basket","","github.com/taucuya/ppo/internal/core/service/basket","","TestUpdateItemAmount/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","TestReviewsForProduct",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestGetByArticule",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:42 UTC 2025","3500","","github.com/taucuya/ppo/internal/core/service/user","","github.com/taucuya/ppo/internal/core/service/user","","TestClassicCreate_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","TestAcceptOrder",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestAuth_SignUp_AAA/fail_to_register_user_with_duplicate_email",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","TestGetByPhone",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","TestDeleteItem",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","TestGetByPhone/database_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","TestDelete/database_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/brand","","github.com/taucuya/ppo/internal/core/service/brand","","TestDelete_AAA/successful_delete",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/review","","github.com/taucuya/ppo/internal/core/service/review","","TestCreate_AAA/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","790","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","TestCreate/database_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","TestDelete",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/worker","","github.com/taucuya/ppo/internal/core/service/worker","","TestGetById_AAA/repository_error",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestWorker_GetById_AAA",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBrand_GetById_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","10","","github.com/taucuya/ppo/internal/repository/postgres/reps/favourites","","github.com/taucuya/ppo/internal/repository/postgres/reps/favourites","","TestDeleteItem",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","TestGetOrdersByUser/database_error_when_getting_user_orders",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestFavourites_GetById_AAA/fail_to_get_favourites_for_non-existent_user",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","860","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestRefreshToken_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","TestDelete/successful_brand_deletion",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBasket_UpdateItemAmount_AAA/fail_to_update_amount_for_non-existent_item",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestCreate",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/basket","","github.com/taucuya/ppo/internal/core/service/basket","","TestGetById_AAA/error_get_(not_found_basket_by_user)",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/brand","","github.com/taucuya/ppo/internal/core/service/brand","","TestDelete_AAA",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestReview_Create_AAA/fail_to_create_review_for_non-existent_product",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","TestGetAllUsers/empty_list",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestReview_Delete_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestLogOut_AAA/successful_logout",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/user","","github.com/taucuya/ppo/internal/core/service/user","","TestGetAllUsers_AAA/successful_get_all_users",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","TestDelete/database_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","TestCreateWithDifferentReviews/create_empty_text_review",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","TestAddItem/successful_update_existing_item_amount",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/user","","github.com/taucuya/ppo/internal/core/service/user","","TestGetById_AAA/successful_get_by_id",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","TestCheckAdmin/database_error_when_checking_admin",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","TestGetFreeOrders/successful_get_free_orders",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestUser_GetById_AAA/successfully_get_user_by_id",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestGetByCategory",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","TestGetByPhone/user_not_found_by_phone",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","TestGetItems/error_getting_basket_ID",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestFavourites_GetItems_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","880","","github.com/taucuya/ppo/internal/core/service/user","","github.com/taucuya/ppo/internal/core/service/user","","TestClassicCreate_AAA/repository_error_on_basket_creation",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","TestAcceptOrder/database_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","TestGetBIdByUId/successful_get_basket_ID_by_user_ID",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","TestCreateToken",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","TestCreate/order_creation_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/favourites","","github.com/taucuya/ppo/internal/core/service/favourites","","TestAddItem_AAA/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/worker","","github.com/taucuya/ppo/internal/core/service/worker","","TestGetAllWorkers_AAA/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/basket","","github.com/taucuya/ppo/internal/core/service/basket","","TestGetItems_AAA/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/favourites","","github.com/taucuya/ppo/internal/core/service/favourites","","TestCreate_AAA/successful_creation",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestReview_Delete_AAA/successfully_delete_review",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestWorker_Create_AAA/successful_worker_creation",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBasket_GetById_AAA/fail_to_get_basket_for_non-existent_user",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","TestGetById/successful_get_by_id",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/product","","github.com/taucuya/ppo/internal/core/service/product","","TestGetByArticule_AAA/successful_get_by_articule",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestCreate/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","TestGetById/database_error_when_getting_brand",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestGetByName/successful_get_by_name",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestGetById/database_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","10","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","TestGetItems",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestAuth_RefreshToken_AAA/successful_token_refresh_with_existing_user",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/review","","github.com/taucuya/ppo/internal/core/service/review","","TestDelete_AAA/successful_delete",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","TestCreateToken/token_creation_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","TestAddItem/error_inserting_new_item",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/favourites","","github.com/taucuya/ppo/internal/core/service/favourites","","TestGetItems_AAA/successful_get_items",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:43 UTC 2025","4380","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestLogIn_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/worker","","github.com/taucuya/ppo/internal/core/service/worker","","TestGetById_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/favourites","","github.com/taucuya/ppo/internal/repository/postgres/reps/favourites","","TestGetFIdByUId",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/product","","github.com/taucuya/ppo/internal/core/service/product","","TestCreate_AAA/successful_creation",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","TestCheckWorker/database_error_when_checking_worker",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBasket_GetById_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/favourites","","github.com/taucuya/ppo/internal/core/service/favourites","","TestDeleteItem_AAA/successful_delete",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/review","","github.com/taucuya/ppo/internal/core/service/review","","TestGetById_AAA/successful_get_by_id",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestAuth_LogIn_AAA/successful_login_with_correct_credentials",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestReview_GetById_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","10","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","TestCreateWithDifferentReviews",""
"failed","Mon Nov 10 07:53:43 UTC 2025","Mon Nov 10 07:53:43 UTC 2025","140","","github.com/taucuya/ppo/internal/e2e_tests","","github.com/taucuya/ppo/internal/e2e_tests","","TestE2E_UserOrderFlow",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","220","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestAuth_SignUp_AAA",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBasket_AddItem_AAA/fail_to_add_item_to_non-existent_user_basket",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/basket","","github.com/taucuya/ppo/internal/core/service/basket","","TestGetById_AAA/successful_get",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/product","","github.com/taucuya/ppo/internal/core/service/product","","TestGetByArticule_AAA/repository_error",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestAuth_VerifyTokens_AAA/both_tokens_valid",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestFavourites_DeleteItem_AAA/fail_to_delete_item_from_non-existent_user",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","900","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestLogOut_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/worker","","github.com/taucuya/ppo/internal/core/service/worker","","TestDelete_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","TestGetAllWorkers",""
